,Made from,Country of origin,Region,Type,Family,Fat content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers
Bella Lodi,unpasteurized cow's milk,Italy,Lodi,"hard, artisan",Parmesan,,"crumbly, flaky and grainy",natural,white,full-flavored,"aromatic, rich",yes ,Lodigrana
Belle Creme,pasteurized cow's milk,Canada,Québec,"soft, soft-ripened",Brie,,"buttery, creamy, smooth and soft-ripened",bloomy,white,"acidic, buttery, creamy, salty","mushroom, nutty",,La Maison Alexis de Portneuf Inc.
Belletoile,pasteurized cow's milk,France,,"soft, soft-ripened",Brie,70%,creamy,,,"garlicky, mild, mushroomy, nutty, tangy",mild, no ,Fromagerie Henri Hutin
Bellwether Farms Crescenza,pasteurized cow's milk,United States,"Sonoma, California","soft, artisan",,,"buttery, soft-ripened and spreadable",rindless,ivory,"buttery, tart","buttery, rich",yes ,Bellwether Farms
Bel Paese,pasteurized cow's milk,Italy,Lombardy,semi-soft,,,creamy and smooth,plastic,pale yellow,"buttery, mild, milky, sweet",pleasant, no ,Galbani
Benedictine,"pasteurized cow's, goat's and sheep's milk",United States,"La Velle, Wisconsin","semi-hard, artisan",,,creamy,washed,yellow,,,,Carr Valley Cheese Company
Bent River,pasteurized cow's milk,United States,"Mankato, MN","soft, artisan, soft-ripened",Camembert,,smooth and soft,bloomy,,"buttery, mellow, milky, subtle",mushroom,,Alemar Cheese
Bergader,cow's milk,Germany,,,,,,,,,, no ,Bergader Privatkäserei GmbH
Bergere Bleue,unpasteurized sheep's milk,United States,"Marathon, NY","semi-soft, artisan, blue-veined",Blue,,"creamy, crumbly and smooth",mold ripened ,pale yellow,burnt caramel,"lanoline, rich, yeasty",yes ,Northland Sheep Dairy
Bergues,unpasteurized cow's milk,France, Bergues,semi-hard,,15-25%,smooth,washed,,"subtle, sweet",aromatic, no ,
Berkswell,unpasteurized sheep's milk,United Kingdom,West Midlands,"hard, smear-ripened",Parmesan,48%,"chewy, dense and firm",natural,pale yellow,acidic,goaty,yes ,"Berkswell Cheese Company , Ram Hall Farm"
Bermondsey Hard Pressed,unpasteurized cow's milk,"England, Great Britain and United Kingdom","Bermondsey, London","hard, artisan",Cheddar,,"creamy, crumbly and open",natural,yellow,"creamy, nutty",barnyardy,,KAPPACASEIN DAIRY
Bermuda Triangle,pasteurized goat's milk,United States,California,"semi-soft, soft-ripened",Brie,,"creamy, crumbly, dense, firm and smooth",bloomy,white,"earthy, piquant, spicy, tangy","earthy, fresh, spicy",yes ,Cypress Grove Chevre
Bethmale des Pyrenees,cow's milk,France,Pyrenees,semi-hard,,,,natural,brownish yellow,mild,"aromatic, earthy, mushroom", no ,
Bettine Bleu,pasteurized goat's milk,Netherlands,,semi-hard,,39.6 g/100g,,,,,, no ,Bettinehoeve BV
Bettine Grand Cru,pasteurized goat's milk,Netherlands,,semi-hard,,,,,,"spicy, strong",strong, no ,Bettinehoeve BV
Beyaz Peynir,"cow's, goat's or sheep's milk",Turkey,,"semi-soft, brined",,,,,,,,yes ,
Bianca,goat's and sheep's milk,United States,"Tieton, Washington","fresh soft, artisan",,,soft and spreadable,rindless,ivory,"creamy, tangy","fresh, rich",,Tieton Farm & Creamery
Bianco ,cow's milk,Germany,,semi-hard,,32.5 g/100g,"creamy, open and soft",natural,pale yellow,"buttery, garlicky, mild",, no ,Bergader Privatkäserei GmbH
Bica de Queijo,"unpasteurized cow's, goat's and sheep's milk",Portugal,Póvoa de Lanhoso,"semi-soft, artisan",,45%,"creamy, firm, smooth and springy",natural,ivory,"buttery, mild, salty",goaty, no ,
Bierkase,pasteurized cow's milk,Germany,,"semi-soft, smear-ripened",Cheddar,40%,smooth,washed,pale yellow,"full-flavored, salty, tangy",strong, no ,Wisconsin Cheese
Big John's Cajun,pasteurized cow's milk,United States,Utah,"hard, artisan",,,creamy and smooth,natural,pale yellow,"smooth, spicy","rich, spicy",yes ,Beehive Cheese Company
Big Rock Blue,pasteurized cow's milk,United States,California,"semi-firm, artisan, blue-veined",Blue,,buttery and crumbly,rindless,ivory,"buttery, salty",mild,yes ,Central Coast Creamery 
Big Woods Blue,pasteurized sheep's milk,United States,Minnesota,"semi-hard, blue-veined",Blue,,firm,natural,ivory,"full-flavored, sharp, spicy, tangy","pronounced, sweet",yes ,Shepherd's Way Farms
Bijou,pasteurized goat's milk,United States,"Websterville, VT","semi-soft, artisan",,11%,creamy and smooth,mold ripened ,,"sharp, sweet, tangy, yeasty","fresh, yeasty",,Vermont Creamery
Binnorie Marinated Fetta,cow's milk,Australia,"Pokolbin, Hunter Valley","soft, brined",Feta,,creamy,natural,white,"herbaceous, mild, milky","clean, fresh, herbal",yes ,Binnorie Dairy
Bishop Kennedy,cow's milk,Scotland,"Kinfauns, Perthshire",soft,,45%,smooth,washed,yellow,"creamy, strong",pungent,yes ,"Kinfauns Home Farm, Scotland"
Bismark ,unpasteurized sheep's milk,United States,Vermont,"semi-hard, artisan",,,crumbly and firm,rindless,yellow,"buttery, creamy, nutty, sweet, tangy",,yes ,Grafton Village Cheese Company
Black Betty,pasteurized goat's milk,Netherlands,,"hard, artisan",,,firm,waxed,,,,,"Essex St. Cheese Co., Fromagerie L'Amuse"
Black Pearl,goat's milk,Australia,"Mornington Peninsula, Melbourne","semi-hard, artisan",,,firm,ash coated,,mild,fresh,yes ,BoatShed Cheese
Blacksticks Blue,pasteurized cow's milk,"England, Great Britain and United Kingdom",Lancashire,"soft, blue-veined",Blue,,creamy and spreadable,mold ripened ,golden yellow,"creamy, tangy",,yes ,Butlers Farmhouse Cheeses
Blarney Castle,pasteurized cow's milk,Ireland,Blarney,semi-soft,Gouda,,creamy,natural,golden yellow,"smooth, tangy",, no ,Kerrygold
Blenda,unpasteurized cow's and sheep's milk,Sweden,Oviken ,"hard, artisan",,30%,,natural,yellow,"acidic, fruity, mild, nutty",,,Oviken cheese
Bleu Benedictin,pasteurized cow's milk,Canada,Quebec,"semi-soft, artisan, blue-veined",Blue,,"creamy, crumbly and firm",natural,pale yellow,"creamy, salty, woody","mushroom, pleasant", no ,Fromagerie de l'Abbaye Saint-Benoît 
Bleubry,pasteurized cow's milk,Canada,Quebec,"soft, blue-veined",Blue,37%,"creamy, smooth and supple",mold ripened ,cream,"creamy, mild, savory",pungent, no ,La Maison Alexis de Portneuf Inc.
Bleu d'Auvergne,pasteurized or unpasteurized cow's milk,France,Auvergne,"semi-soft, artisan",Blue,50%,creamy and smooth,bloomy,ivory,"buttery, creamy, grassy, herbaceous, salty, spicy, tangy",strong, no ,
Bleu de Laqueuille,pasteurized cow's milk,France,Laqueuille,"soft, blue-veined",Blue,30%,creamy and smooth,natural,blue,"salty, spicy, tangy",earthy, no ,
Bleu Des Causses,unpasteurized cow's milk,France,"Languedoc, Midi Pyrenees","semi-soft, blue-veined",Blue,45%,creamy,natural,blue,"salty, spicy","grassy, strong", no ,
Bleu L'Ermite,pasteurized cow's milk,Canada,Quebec,"semi-soft, artisan, blue-veined",Blue,,creamy and crumbly,natural,cream,"mushroomy, nutty, salty, sharp",fermented, no ,Abbey de Saint-Benoit-du-lac
Bleu Mont Dairy Bandaged Cheddar,pasteurized cow's milk,United States,Wisconsin,"hard, artisan",Cheddar,,"crumbly, crystalline and flaky",cloth wrapped,yellow,"caramel, nutty, sweet",earthy, no ,
Blissful Blocks,,Canada and United States,,hard,Cheddar,,creamy and crumbly,plastic,yellow,"creamy, savory, sharp, spicy",,yes ,GO Veggie!
Blissful Toppings,,Canada and United States,,soft,Parmesan,,crumbly,artificial,yellow,"savory, sharp",,yes ,GO Veggie!
Bloomsdale,pasteurized goat's milk,United States,Bloomdale,"soft, artisan, soft-ripened",Brie,,"creamy, runny and soft-ripened",mold ripened ,white,"earthy, milky, tangy",, no ,Baetje Farms LLC
Blu '61,pasteurized cow's milk,Italy,Veneto,"soft, blue-veined",Blue,,creamy and soft,,white,"creamy, pronounced, strong","fruity, rich, sweet", no ,La Casearia Carpenedo S.r.l.
Blu Della Casera,pasteurized cow's and sheep's milk,Italy,Piedmont,"soft, blue-veined",,54%,soft,leaf wrapped,ivory,"creamy, strong",,,La Casera srl
Blu di Bufala,pasteurized water buffalo's milk,Italy,Lombardy,"semi-firm, artisan, blue-veined",Blue,,creamy and crumbly,natural,cream,"acidic, milky, sweet, tangy","fresh, milky", no ,"Forever Cheese, Quattro Portoni"
Bluebell Falls Cygnus,goat's milk,Ireland,Co. Cork,"fresh soft, artisan",,,creamy and smooth,natural,white,"garlicky, herbaceous, sweet",,yes ,Bluebell Falls Goats Cheese
Blue Benedictine,,Canada,,"semi-soft, blue-veined, soft-ripened",,,"buttery, creamy, crumbly and smooth",natural,brownish yellow,"buttery, creamy, earthy, grassy, herbaceous, mushroomy, salty, smooth, sweet","buttery, earthy, grassy, herbal, mushroom, sweet",,"Benedictine Abbey of Saint-Benoît-du-Lac, Quebec."
Blue Castello,cow's milk,Denmark,,soft,Blue,,creamy and smooth,washed,blue,"buttery, tangy",,,
Blue Earth,pasteurized cow's milk,United States,"Mankato, MN","soft, artisan, soft-ripened",Brie,,"creamy, runny, smooth and soft",bloomy,pale yellow,"buttery, grassy, smooth",,yes ,
Blue Ledge La Luna,unpasteurized goat's milk,United States,Vermont,"semi-hard, artisan",Gouda,,firm and smooth,waxed,white,"creamy, milky, tangy",grassy, no ,Blue Ledge
Blue Lupine,goat's milk,United States,California,"semi-soft, blue-veined",Blue,,creamy and dense,natural,,tangy,goaty,,Weirauch Farm and Creamery
Blue Rathgore,goat's milk,Ireland,County Antrim,"semi-soft, artisan",Blue,,creamy and crumbly,natural,ivory,"buttery, spicy",,yes ,
Blue Vein (Australian),pasteurized or unpasteurized cow's milk,Australia,,"semi-soft, blue-veined",Blue,,creamy and dense,natural,blue,"salty, sharp","stinky, strong",,King Island Dairy
Blue Vein Cheese,"pasteurized or unpasteurized cow's, goat's or sheep's milk",countries throughout the world,,"semi-soft, blue-veined",Blue,,creamy,,blue,"salty, sharp, tangy","stinky, strong", no ,
Blue Wensleydale ,pasteurized cow's milk,England,North Yorkshire,"hard, blue-veined",Blue,,close,cloth wrapped,blue,"acidic, salty, savory, sharp, strong",rich,yes ,Wensleydale Creamery
Blue Yonder,unpasteurized cow's milk,United States,NY,"semi-soft, blue-veined",Blue,,creamy,natural,white,subtle,rich,yes ,Lively Run Goat Dairy
Blythedale Camembert,pasteurized cow's milk,United States,Vermont,"soft, artisan",Camembert,,creamy and dense,natural,ivory,"earthy, mushroomy",mild,yes ,Blythedale Farm Cheeses
Bocconcini,pasteurized cow's and water buffalo's milk,Italy,Campania ,"semi-soft, brined",Mozzarella,6 g/100g,creamy and springy,rindless,white,"buttery, mild, sweet",, no ,"La Casa Del Formaggio, Paesanella Cheese Manufacturers, St-Laurent, Québec "
Boeren-Leidse met sleutels,unpasteurized cow's milk,Netherlands,Leiden ,"hard, artisan",Gouda,30-40%,crumbly and firm,waxed,yellow,"fruity, spicy","aromatic, rich", no ,Vereniging van Boeren-Leidse Kaasmakers 
Bohemian Blue,pasteurized sheep's milk,United States,Southwestern Wisconsin,"firm, artisan",Blue,,"creamy, crumbly and dry",rindless,white,"piquant, sour, sweet",sweet, no ,Hidden Springs Company
Boivin Extra Aged Cheddar,pasteurized cow's milk,Canada,Quebec,hard,Cheddar,,firm and smooth,rindless,straw,"acidic, buttery",,,La Fromagerie Boivin
Boivin Marbled Cheddar,pasteurized cow's milk,Canada,Quebec,"semi-soft, processed",Cheddar, 31%,firm and smooth,rindless,golden orange,"mild, salty, sweet",buttery,,La Fromagerie Boivin
Boivin Medium Cheddar,pasteurized cow's milk,Canada,Quebec,semi-hard,Cheddar,,firm and smooth,rindless,pale yellow,"acidic, buttery",,,La Fromagerie Boivin
Bonchester,unpasteurized cow's milk,Scotland and United Kingdom,Roxburghshire,"soft, artisan",,20%,close and smooth,natural,yellow,mild,grassy, no ,
Bonifaz,pasteurized cow's milk,Germany,,soft,,43.3 g/100g,creamy and soft,natural,cream,"creamy, garlicky, herbaceous, mild, milky, mushroomy, spicy",, no ,Bergader Privatkäserei GmbH
Bonne Bouche,pasteurized goat's milk,United States,Vermont,soft,,21%,"creamy, fluffy and smooth",mold ripened ,ivory,"citrusy, grassy",yeasty,yes ,Vermont Creamery
Boo Boo Baby Swiss,unpasteurized cow's milk,United States,Utah,"hard, artisan",Swiss Cheese,,"crumbly, firm and open",natural,yellow,"nutty, sweet","milky, pleasant", no ,Rockhill Creamery
Bootlegger,pasteurized cow's and sheep's milk,Canada and Italy,Lombardy,"hard, artisan",,,crumbly and firm,natural,pale yellow,"fruity, full-flavored, strong",floral,,Fifth Town Artisan Cheese
Bossa,pasteurized sheep's milk,United States,Missouri,"semi-soft, artisan",,,"creamy, firm and spreadable",washed,cream,"floral, meaty",stinky,yes ,Green Dirt Farm
Bosworth,pasteurized goat's milk,England and United Kingdom,Staffordshire,"soft, artisan",,45%,crumbly,mold ripened ,white,"mild, salty, sweet","aromatic, goaty",yes ,Highfields Farm Dairy
Bothwell Black Truffle Cheddar,pasteurized cow's milk,Canada,Manitoba,semi-hard,Cheddar,,firm,rindless,pale yellow,"earthy, fruity","buttery, rich",,Bothwell Cheese Inc.
Bougon,pasteurized or unpasteurized goat's milk,France,,"soft, artisan",,50%,firm,bloomy,white,acidic,fresh, no ,
Boulder Chevre,pasteurized goat's milk,United States,Colorado,"semi-soft, artisan",,5 g/100g,"creamy, crumbly and firm",rindless,white,"citrusy, grassy, tangy","clean, fresh",yes ,Haystack Mountain Goat Dairy
Boule Du Roves,unpasteurized goat's milk,France,,"soft, artisan",,,creamy,natural,white,,fresh, no ,
Boulette d'Avesnes,pasteurized cow's milk,France,Avesnes,fresh soft,,45%,creamy and smooth,washed,,spicy,stinky,yes ,
Bourdin Goat Log,goat's milk,France,,soft,Cottage,,creamy and soft,rindless,,"creamy, tangy",fresh,,
Boursault,pasteurized cow's milk,France,Val-de-Marne,"soft, soft-ripened",Brie,75%,"creamy, smooth and spreadable",bloomy,yellow,"buttery, citrusy, nutty, salty",earthy, no ,
Boursin,pasteurized cow's milk,France,Croisy-sur-Eure,"soft, processed",,60%,"creamy, crumbly and spreadable",rindless,white,"buttery, full-flavored, herbaceous, smooth","fresh, strong",yes ,Boursin Bel UK Ltd
Bouyssou,cow's milk,France,Aveyron,soft,,,,,,fruity,, no ,
Bra Duro DOP,pasteurized cow's milk,Italy,Piedmont,hard,,35%,firm,natural,pale yellow,"salty, savory",, no ,
Branza de Burduf,unpasteurized sheep's milk,Romania,"Bran, Moeciu and Fundata municipalities, Brasov county","soft, artisan",,,,natural,white,"salty, spicy",woody, no ,
Braudostur,cow's milk,Iceland,,semi-hard,,25%,,,,sweet,strong, no ,
Breakfast Cheese,pasteurized cow's milk,United States,California,"fresh firm, soft-ripened",,7 g/100g,dense and firm,rindless,white,"citrusy, tangy",fresh,yes ,Marin French Cheeese Co. 
Brebirousse d'Argental,pasteurized sheep's milk,France,Rhone-Alpes,"soft, soft-ripened",Brie,,creamy,bloomy,orange,"buttery, creamy, mushroomy, sweet, tangy",grassy,,
Brebis d'Azure,pasteurized sheep's milk,Canada and Italy,Lombardy,"semi-hard, artisan, blue-veined",Blue,,soft,natural,pale yellow,sharp,aromatic,,Fifth Town Artisan Cheese
Brebis du Lavort,unpasteurized sheep's milk,France,Auvergne,"semi-hard, artisan",,,creamy and open,natural,ivory,"mild, nutty",earthy, no ,Fromagerie De Terre Dieu
Brebis du Puyfaucon,unpasteurized sheep's milk,France,Haute Vienne,"soft, artisan",,,smooth,natural,,sweet,grassy, no ,
Bresse Bleu,pasteurized cow's milk,France,"Bresse, Burgundy ","soft, blue-veined",Blue,50%,creamy,bloomy,white,buttery,fresh, no ,
Brewer's Gold,pasteurized cow's milk,Ireland,Stoneyford,"semi-soft, artisan",,,creamy,washed,pale yellow,,,yes ,Knockdrinna Farmhouse Cheese
Brick,pasteurized cow's milk,United States,Wisconsin,"semi-hard, smear-ripened",,,open and smooth,washed,ivory,"mild, nutty, sweet, tangy","pungent, rich", no ,
Bridgewater,pasteurized cow's milk,United States,"Ann Arbor, Michigan","soft, soft-ripened",,,creamy and soft-ripened,bloomy,ivory,"citrusy, mushroomy, piquant, spicy","mushroom, spicy", no ,Zingerman's Creamery
Brie,unpasteurized cow's milk,France,Seine-et-Marne,"soft, artisan, soft-ripened",Brie,8.4 g/100g,"buttery, runny and soft-ripened",bloomy,cream,"fruity, mild, nutty, tangy","pronounced, strong", no ,
Brie au poivre (Brie with pepper),cow's milk,France and United States,,"soft, soft-ripened",Brie,60%,creamy,bloomy,white,"buttery, creamy, nutty, spicy",, no ,
Brie Coco,pasteurized cow's milk,Canada,Québec,"soft, soft-ripened",Brie,,"buttery, creamy, smooth and soft-ripened",bloomy,pale yellow,"acidic, buttery, creamy, salty","mushroom, nutty",,La Maison Alexis de Portneuf Inc.
Brie d'Alexis,pasteurized cow's milk,Canada,Quebec,"soft, soft-ripened",Brie,,"buttery, creamy and supple",bloomy,cream,"creamy, nutty",nutty,,La Maison Alexis de Portneuf Inc.
Brie de Meaux,unpasteurized cow's milk,France,Ile de France ,"soft, artisan, soft-ripened",Brie,,creamy and smooth,bloomy,straw,"buttery, sweet","aromatic, rich", no ,
Brie de Melun,unpasteurized cow's milk,France,Ile de France,"semi-soft, soft-ripened",Brie,45%,firm,bloomy,yellow,"salty, sharp, sour, strong","grassy, musty",,
Brie de Portneuf,pasteurized cow's milk,Canada,Quebec,"soft, soft-ripened",Brie,,"buttery, creamy and supple",bloomy,cream,creamy,fruity,,La Maison Alexis de Portneuf Inc.
Brie de Portneuf Double Cream,pasteurized cow's milk,Canada,Quebec,"soft, soft-ripened",Brie,,"buttery, creamy and supple",bloomy,cream,creamy,nutty,,La Maison Alexis de Portneuf Inc.
Brillat-Savarin,pasteurized cow's milk,France,Ile de France ,"soft, artisan",,75%,creamy and dense,mold ripened ,white,"buttery, nutty, sour",milky, no ,
Brillo di Treviso,pasteurized cow's milk,Italy,Veneto,soft,,,compact,natural,ivory,"fruity, tangy","aromatic, subtle", no ,La Casearia Carpenedo S.r.l.
Brimstone,pasteurized cow's milk,United States,Missouri,"semi-hard, artisan",Gouda,,crumbly,rindless,pale yellow,"smooth, spicy",spicy,yes ,Heartland Creamery
Brin,pasteurized cow's milk,France,Rhone-Alps,"semi-soft, artisan",,40%,creamy and spreadable,washed,golden orange,"buttery, sweet","aromatic, nutty, yeasty",yes ,Fromagerie GUILLOTEAU
Brin d'Amour,pasteurized sheep's milk,France,Corsica,"semi-soft, artisan",,45%,creamy,natural,white,"citrusy, mild, sour, tangy","herbal, musty, nutty", no ,
Brinza - Feta style,sheep's milk,New Zealand,Queenstown,"soft, brined",Feta,,"creamy, crumbly and open",natural,white,"citrusy, salty, sweet, tangy",, no ,The Gibbston Valley Cheese Company
Briquette de Brebis,pasteurized sheep's milk,France,Averyon,soft,,,creamy,natural,white,nutty,nutty,,
Briquette du Forez,unpasteurized cow's and goat's milk,France,Auvergne,"soft, soft-ripened",Brie,,creamy,natural,white,smooth,"goaty, pleasant", no ,
Briscola,pasteurized cow's milk,Italy,Veneto,semi-hard,,,firm and open,natural,ivory,"fruity, savory, spicy, strong","milky, pleasant, spicy", no ,La Casearia Carpenedo S.r.l.
Brise du Matin,pasteurized cow's milk,Canada,Quebec,"soft, soft-ripened",Brie,30%,"buttery, creamy, runny, soft and soft-ripened",bloomy,cream,"buttery, mushroomy, nutty, pronounced",fresh,,La Maison Alexis de Portneuf Inc.
Brocciu,pasteurized goat's or sheep's milk,France,Corsica ,"fresh soft, whey",Cottage,40-50%,"creamy, crumbly and smooth",rindless,white,"milky, sweet",sweet,,
